"","Result.x","Method.x","Fighter.x","Opponent.x","CountFights.x","PreviousOutcome.x","StreakLength.x","WinRatio.x","FinishRatio.x","FinishPrevious.x","FinishedRatio.x","FinishCount.x","FinishedCount.x","DamageDiff.x","CountFights.y","PreviousOutcome.y","StreakLength.y","WinRatio.y","FinishRatio.y","FinishPrevious.y","FinishedRatio.y","FinishCount.y","FinishedCount.y","DamageDiff.y","delta_FP","delta_FIP","delta_FC","delta_FIC"
"1","win","Decision (Split)","Max Holloway","Harris Sarmiento",2,1,2,1,0.5,TRUE,0,1,0,1,52,0,-1,0.596153846153846,0.211538461538462,FALSE,0.288461538461538,11,15,0.6875,1,-1,-10,-15
"2","win","Decision (Unanimous)","Max Holloway","Eddie Rincon",3,1,3,1,0.333333333333333,FALSE,0,1,0,1,9,0,-5,0.333333333333333,0.111111111111111,FALSE,0.111111111111111,1,1,0.5,0,0,0,-1
"3","loss","Submission (Triangle Armbar)","Max Holloway","Dustin Poirier",4,1,4,1,0.25,FALSE,0,1,0,1,12,1,4,0.916666666666667,0.75,TRUE,0,9,0,9,-1,0,-8,0
"4","win","TKO (Punches)","Max Holloway","Justin Lawrence",6,1,1,0.833333333333333,0.166666666666667,FALSE,0.166666666666667,1,1,0.5,4,1,4,1,0.5,TRUE,0,2,0,2,-1,0,-1,1
"5","win","Decision (Split)","Max Holloway","Leonard Garcia",7,1,2,0.857142857142857,0.285714285714286,TRUE,0.142857142857143,2,1,1,25,0,-3,0.6,0.48,FALSE,0.12,12,3,3,1,0,-10,-2
"6","loss","Decision (Split)","Max Holloway","Dennis Bermudez",8,1,3,0.875,0.25,FALSE,0.125,2,1,1,13,1,3,0.769230769230769,0.384615384615385,FALSE,0.230769230769231,5,3,1.25,0,0,-3,-2
"7","loss","Decision (Unanimous)","Max Holloway","Conor McGregor",9,0,-1,0.777777777777778,0.222222222222222,FALSE,0.111111111111111,2,1,1,15,1,9,0.866666666666667,0.866666666666667,TRUE,0.133333333333333,13,2,4.33333333333333,-1,0,-11,-1
"8","win","Submission (Guillotine Choke)","Max Holloway","Andre Fili",11,1,1,0.727272727272727,0.272727272727273,TRUE,0.0909090909090909,3,1,1.5,14,1,9,0.928571428571429,0.714285714285714,TRUE,0.0714285714285714,10,1,5,0,0,-7,0
"9","win","KO (Punches)","Max Holloway","Akira Corassani",13,1,3,0.769230769230769,0.384615384615385,TRUE,0.0769230769230769,5,1,2.5,17,0,-1,0.705882352941177,0.294117647058824,FALSE,0.294117647058824,5,5,0.833333333333333,1,-1,0,-4
"10","win","Decision (Unanimous)","Max Holloway","Cole Miller",14,1,4,0.785714285714286,0.428571428571429,TRUE,0.0714285714285714,6,1,3,29,1,2,0.724137931034483,0.620689655172414,TRUE,0.0689655172413793,18,2,6,0,0,-12,-1
"11","win","TKO (Esophagus Injury)","Max Holloway","Charles Oliveira",16,1,6,0.8125,0.4375,TRUE,0.0625,7,1,3.5,25,1,4,0.8,0.72,TRUE,0.16,18,4,3.6,0,0,-11,-3
"12","win","Decision (Unanimous)","Max Holloway","Jeremy Stephens",17,1,7,0.823529411764706,0.470588235294118,TRUE,0.0588235294117647,8,1,4,35,1,1,0.685714285714286,0.542857142857143,TRUE,0.114285714285714,19,4,3.8,0,0,-11,-3
"13","win","Decision (Unanimous)","Max Holloway","Ricardo Lamas",18,1,8,0.833333333333333,0.444444444444444,FALSE,0.0555555555555556,8,1,4,20,1,1,0.8,0.4,FALSE,0.15,8,3,2,0,0,0,-2
"14","win","TKO (Kick to the Body and Punches)","Max Holloway","Anthony Pettis",19,1,9,0.842105263157895,0.421052631578947,FALSE,0.0526315789473684,8,1,4,24,1,1,0.791666666666667,0.666666666666667,TRUE,0,16,0,16,-1,0,-8,1
"15","win","TKO (Punches)","Max Holloway","Jose Aldo",20,1,10,0.85,0.45,TRUE,0.05,9,1,4.5,28,1,1,0.928571428571429,0.571428571428571,FALSE,0.0714285714285714,16,2,5.33333333333333,1,0,-7,-1
"16","win","TKO (Punches)","Max Holloway","Jose Aldo",21,1,11,0.857142857142857,0.476190476190476,TRUE,0.0476190476190476,10,1,5,29,0,-1,0.896551724137931,0.551724137931034,FALSE,0.103448275862069,16,3,4,1,-1,-6,-2
"17","loss","Decision (Unanimous)","Max Holloway","Dustin Poirier",23,1,13,0.869565217391304,0.521739130434783,TRUE,0.0434782608695652,12,1,6,30,1,3,0.8,0.633333333333333,TRUE,0.133333333333333,19,4,3.8,0,0,-7,-3
"18","win","Decision (Unanimous)","Max Holloway","Calvin Kattar",27,0,-2,0.777777777777778,0.444444444444444,FALSE,0.037037037037037,12,1,6,26,1,2,0.846153846153846,0.5,FALSE,0.0384615384615385,13,1,6.5,0,0,-1,0
